index,Model,mean,std,CI 2.5%,CI 97.5%
Accuracy,LR,90.568,6.931375765315283,83.209,99.434
BACC,LR,80.176,14.717973026201673,63.815,98.775
MCC,LR,63.498000000000005,27.767822564976175,32.451,97.919
Precision,LR,89.804,7.741616756207969,81.189,99.419
Recall,LR,90.568,6.931375765315283,83.209,99.434
F1-Score,LR,90.054,7.462538442112043,81.853,99.42
AUC,LR,89.648,6.8287641634486125,82.1,99.167
Accuracy,LR-SGD,89.812,6.057591930792303,81.696,96.041
BACC,LR-SGD,79.72200000000001,12.332407307577867,66.881,96.29
MCC,LR-SGD,62.576,22.61462646165088,34.5,87.433
Precision,LR-SGD,89.694,6.485663420190722,81.568,96.689
Recall,LR-SGD,89.812,6.057591930792303,81.696,96.041
F1-Score,LR-SGD,89.47999999999999,6.155696548726232,81.586,96.12
AUC,LR-SGD,91.768,7.832800903891274,83.86500000000001,99.92399999999999
Accuracy,LDA,90.946,6.169512136303812,84.91,97.922
BACC,LDA,81.286,13.019394379156044,68.81,97.863
MCC,LDA,65.728,24.290992569263203,41.73,93.027
Precision,LDA,90.46200000000002,6.857172886839005,83.7,98.109
Recall,LDA,90.946,6.169512136303812,84.91,97.922
F1-Score,LDA,90.556,6.524322187016828,84.13,97.938
AUC,LDA,91.81800000000001,7.012440374078055,83.943,99.798
Accuracy,DT,89.05799999999999,4.299996511626495,84.91,94.151
BACC,DT,83.686,6.2024374241099745,77.65,91.615
MCC,DT,64.032,13.228751641783889,51.2,80.169
Precision,DT,89.93799999999999,3.689650389942119,86.35,94.44800000000001
Recall,DT,89.05799999999999,4.299996511626495,84.91,94.151
F1-Score,DT,89.396,4.053483686904386,85.48,94.259
AUC,DT,84.546,9.871941551690833,74.014,97.983
Accuracy,RF,91.69800000000001,3.9105076396805547,88.68,97.544
BACC,RF,81.74199999999999,7.5768872236558975,75.623,93.216
MCC,RF,68.84,14.708330972615487,56.898,91.048
Precision,RF,91.40599999999999,4.105006699141912,88.00500000000001,97.56
Recall,RF,91.69800000000001,3.9105076396805547,88.68,97.544
F1-Score,RF,91.33800000000001,4.056417138313067,88.158,97.469
AUC,RF,91.06199999999998,6.166179530308858,84.21900000000001,98.66199999999999
Accuracy,AdB,89.812,5.098727292177922,85.098,96.041
BACC,AdB,77.954,11.963531251265238,65.97200000000001,92.754
MCC,AdB,60.739999999999995,20.435844734191928,44.381,85.87700000000001
Precision,AdB,89.28600000000002,5.462058220121788,84.97,96.026
Recall,AdB,89.812,5.098727292177922,85.098,96.041
F1-Score,AdB,89.128,5.61665558851529,84.64,96.027
AUC,AdB,92.498,5.545355714469546,85.704,99.178
Accuracy,XGBC,91.322,5.595522316995975,85.28699999999999,99.245
BACC,XGBC,81.51599999999999,13.107357857325786,65.502,98.548
MCC,XGBC,66.612,23.015704855598056,38.939,97.14099999999999
Precision,XGBC,90.792,6.290959386293953,83.34,99.216
Recall,XGBC,91.322,5.595522316995975,85.28699999999999,99.245
F1-Score,XGBC,90.8,6.187034830999419,83.582,99.206
AUC,XGBC,91.71600000000001,5.8744301851328515,86.411,99.545
Accuracy,SVM,91.69800000000001,6.054632111036972,83.586,97.922
BACC,SVM,79.976,12.767130844477157,64.04299999999999,93.88499999999999
MCC,SVM,67.296,25.04062059933819,33.695,92.532
Precision,SVM,91.11599999999999,6.939843658181358,81.615,97.98299999999999
Recall,SVM,91.69800000000001,6.054632111036972,83.586,97.922
F1-Score,SVM,91.014,6.678033393148016,82.17099999999999,97.866
AUC,SVM,92.72599999999998,7.551154216409568,84.191,99.823
Accuracy,KNN,87.172,4.0888898248791214,83.209,92.262
BACC,KNN,67.524,7.285336642873822,60.299,77.224
MCC,KNN,47.068,18.780710050474664,31.519000000000002,70.541
Precision,KNN,86.21400000000001,5.639009664825909,81.091,92.925
Recall,KNN,87.172,4.0888898248791214,83.209,92.262
F1-Score,KNN,85.36800000000001,4.607414676366784,81.601,91.287
AUC,KNN,77.574,8.569126559924296,65.337,85.265
Accuracy,NB,88.67999999999999,5.500818120970737,81.508,94.151
BACC,NB,75.50399999999999,5.0751876812586945,71.086,82.77499999999999
MCC,NB,59.760000000000005,16.823779301928564,39.575,78.236
Precision,NB,89.41,5.2319642582877055,83.038,94.538
Recall,NB,88.67999999999999,5.500818120970737,81.508,94.151
F1-Score,NB,88.238,4.872706640051301,82.16499999999999,93.637
AUC,NB,93.03,5.786795313470142,86.262,98.788
Accuracy,MLP,90.944,5.875455727005353,85.098,99.245
BACC,MLP,82.172,11.281133365048033,69.808,98.22
MCC,MLP,66.708,21.72601942372325,43.081999999999994,97.14099999999999
Precision,MLP,90.7,6.0952932661193575,84.072,99.216
Recall,MLP,90.944,5.875455727005353,85.098,99.245
F1-Score,MLP,90.718,6.018348610707094,84.423,99.206
AUC,MLP,89.192,7.427009492386552,80.09800000000001,99.066
